"ring","sex","year","site","site_recode","Difsite","survival","capture","Lrecapture","time_SLC","time_SFC","age_class","age_est","age_est_4eq5","age_cat","prop_occ","mean_occ","rel_occ","suc_av","suc_mean","rel_suc","mean_temp","mean_mean_temp","rel_mean_temp","total_precip","mean_total_precip","rel_total_precip"
"AHD7298","M",2018,"BLG","BLG",0,0,1,0,0,0,5,1,1,"Y",0.875,0.943181818181818,-0.0681818181818182,6.75,6.03030303030303,0.71969696969697,0.931570247933884,0.62631696247121,0.305253285462674,222.94,347.819,-124.879
"AHD7299","F",2018,"BLG","BLG",0,1,1,0,0,0,5,1,1,"Y",0.875,0.943181818181818,-0.0681818181818182,6.75,6.03030303030303,0.71969696969697,0.931570247933884,0.62631696247121,0.305253285462674,222.94,347.819,-124.879
"AHD7299","F",2019,"BLG","BLG",0,1,1,0,1,1,6,2,2,"O",1,0.943181818181818,0.0568181818181818,9.375,6.03030303030303,3.34469696969697,1.11926229508197,0.62631696247121,0.492945332610757,427.18,347.819,79.361
"AHD7299","F",2020,"BLG","BLG",0,1,1,0,1,2,6,3,3,"O",1,0.943181818181818,0.0568181818181818,7.75,6.03030303030303,1.71969696969697,0.343223140495868,0.62631696247121,-0.283093821975342,377.47,347.819,29.651
"AHD7299","F",2021,"BLG","BLG",NA,1,0,NA,1,3,-999,4,4,"O",1,0.943181818181818,0.0568181818181818,5.375,6.03030303030303,-0.65530303030303,1.09570247933884,0.62631696247121,0.469385516867633,260.01,347.819,-87.809
"AHD7299","F",2022,"BLG","BLG",0,0,1,1,2,4,6,5,5,"O",0.75,0.943181818181818,-0.193181818181818,5.25,6.03030303030303,-0.78030303030303,0.320495867768595,0.62631696247121,-0.305821094702615,293.18,347.819,-54.639
"AHD7301","F",2018,"TOM","TOM",0,0,1,0,0,0,6,-999,-999,"O",0.25,0.0909090909090909,0.159090909090909,2.375,0.712121212121212,1.66287878787879,-0.0774380165289256,-0.728760804769002,0.651322788240076,352.38,413.617,-61.237
"AHD7310","M",2018,"FOU","FOU",0,0,1,0,0,0,5,1,1,"Y",0.5,0.590909090909091,-0.0909090909090909,3.25,3.41287878787879,-0.162878787878788,1.51520661157025,1.04009090909091,0.475115702479339,253.76,318.906,-65.146
"AHD7311","F",2018,"DOR","DOR",0,1,1,0,0,0,6,-999,-999,"O",0.5,0.596969696969697,-0.0969696969696969,2.83333333333333,2.11818181818182,0.715151515151515,1.26917355371901,0.793956509958,0.475217043761008,239.93,314.448,-74.518
"AHD7311","F",2019,"DOR","DOR",0,1,1,0,1,1,6,-999,-999,"O",0.666666666666667,0.596969696969697,0.0696969696969697,3.66666666666667,2.11818181818182,1.54848484848485,1.20508196721311,0.793956509958,0.411125457255115,341.52,314.448,27.072
"AHD7311","F",2020,"DOR","DOR",0,1,1,0,1,2,6,-999,-999,"O",0.833333333333333,0.596969696969697,0.236363636363636,2.83333333333333,2.11818181818182,0.715151515151515,0.562479338842975,0.793956509958,-0.231477171115025,341.56,314.448,27.112
"AHD7311","F",2021,"DOR","DOR",0,0,1,0,1,3,6,-999,-999,"O",0.666666666666667,0.596969696969697,0.0696969696969697,1.83333333333333,2.11818181818182,-0.284848484848485,0.968760330578512,0.793956509958,0.174803820620512,235.69,314.448,-78.758
"AHD7320","M",2018,"AVI","AVI",0,0,1,0,0,0,5,1,1,"Y",0.5,0.492424242424242,0.00757575757575757,4.125,3.06818181818182,1.05681818181818,0.417851239669422,-0.325023574041458,0.742874813710879,337.53,413.7,-76.17
"AHD7321","M",2018,"TOM","TOM",0,0,1,0,0,0,6,-999,-999,"O",0.25,0.0909090909090909,0.159090909090909,2.375,0.712121212121212,1.66287878787879,-0.0774380165289256,-0.728760804769002,0.651322788240076,352.38,413.617,-61.237
"AHD7322","F",2018,"DAV","DAV",0,0,1,0,0,0,5,1,1,"Y",0.625,0.588541666666667,0.0364583333333334,2.5,1.953125,0.546875,0.926528925619835,0.396511482183986,0.530017443435849,255.22,330.11625,-74.89625
"AHD7342","F",2018,"DOR","DOR",0,1,1,0,0,0,5,1,1,"Y",0.5,0.596969696969697,-0.0969696969696969,2.83333333333333,2.11818181818182,0.715151515151515,1.26917355371901,0.793956509958,0.475217043761008,239.93,314.448,-74.518
"AHD7342","F",2019,"DOR","DOR",0,0,1,0,1,1,6,2,2,"O",0.666666666666667,0.596969696969697,0.0696969696969697,3.66666666666667,2.11818181818182,1.54848484848485,1.20508196721311,0.793956509958,0.411125457255115,341.52,314.448,27.072
"AHD7350","M",2018,"AVN","AVN",0,1,1,0,0,0,5,1,1,"Y",0.75,0.845833333333333,-0.0958333333333333,7,5.065,1.935,0.602396694214876,-0.126122852970841,0.728519547185717,342,411.834444444444,-69.8344444444444
"AHD7350","M",2019,"AVN","AVN",NA,1,0,NA,1,1,-999,2,2,"O",0.875,0.845833333333333,0.0291666666666667,5.375,5.065,0.31,0.561311475409836,-0.126122852970841,0.687434328380677,598.6,411.834444444444,186.765555555556
"AHD7350","M",2020,"AVN","AVN",0,0,1,1,2,2,6,3,3,"O",0.875,0.845833333333333,0.0291666666666667,6.625,5.065,1.56,-0.417272727272727,-0.126122852970841,-0.291149874301886,470.74,411.834444444444,58.9055555555556
"AHD7351","F",2018,"AVN","AVN",0,0,1,0,0,0,5,1,1,"Y",0.75,0.845833333333333,-0.0958333333333333,7,5.065,1.935,0.602396694214876,-0.126122852970841,0.728519547185717,342,411.834444444444,-69.8344444444444
"AHD7364","F",2018,"AVN","AVN",0,0,1,0,0,0,5,1,1,"Y",0.75,0.845833333333333,-0.0958333333333333,7,5.065,1.935,0.602396694214876,-0.126122852970841,0.728519547185717,342,411.834444444444,-69.8344444444444
"AHD7380","F",2018,"INS","INS",0,0,1,0,0,0,6,-999,-999,"O",0.5,0.352272727272727,0.147727272727273,3.375,1.60606060606061,1.76893939393939,0.0378512396694215,-0.526821162444113,0.564672402113535,259.84,369.367,-109.527
"AHD7381","M",2018,"INS","INS",0,0,1,0,0,0,6,-999,-999,"O",0.5,0.352272727272727,0.147727272727273,3.375,1.60606060606061,1.76893939393939,0.0378512396694215,-0.526821162444113,0.564672402113535,259.84,369.367,-109.527
"AHD7382","M",2018,"NEW","NEW",0,0,1,0,0,0,6,-999,-999,"O",0.375,0.553030303030303,-0.178030303030303,2.375,2.95833333333333,-0.583333333333333,0.142727272727273,-0.444887278146593,0.587614550873865,313.65,414.056,-100.406
"AHD7383","M",2018,"KCZ","KCK/KCZ",0,0,1,0,0,0,5,1,1,"Y",0.4375,0.545454545454545,-0.107954545454545,3.125,2.96969696969697,0.15530303030303,0.600206611570248,0.201431005283837,0.398775606286411,230.685,362.8245,-132.1395
"AHD7384","F",2018,"KCZ","KCK/KCZ",0,1,1,0,0,0,5,1,1,"Y",0.4375,0.545454545454545,-0.107954545454545,3.125,2.96969696969697,0.15530303030303,0.600206611570248,0.201431005283837,0.398775606286411,230.685,362.8245,-132.1395
"AHD7384","F",2019,"KCZ","KCK/KCZ",0,0,1,0,1,1,6,2,2,"O",0.75,0.545454545454545,0.204545454545455,5.6875,2.96969696969697,2.71780303030303,0.514590163934426,0.201431005283837,0.313159158650589,476.11,362.8245,113.2855
"AHD7385","M",2018,"KCZ","KCK/KCZ",0,0,1,0,0,0,6,-999,-999,"O",0.4375,0.545454545454545,-0.107954545454545,3.125,2.96969696969697,0.15530303030303,0.600206611570248,0.201431005283837,0.398775606286411,230.685,362.8245,-132.1395
"AHD7386","F",2018,"KCZ","KCK/KCZ",0,0,1,0,0,0,5,1,1,"Y",0.4375,0.545454545454545,-0.107954545454545,3.125,2.96969696969697,0.15530303030303,0.600206611570248,0.201431005283837,0.398775606286411,230.685,362.8245,-132.1395
"AHD7404","M",2020,"AVN","AVN",0,1,1,0,0,0,6,-999,-999,"O",0.875,0.845833333333333,0.0291666666666667,6.625,5.065,1.56,-0.417272727272727,-0.126122852970841,-0.291149874301886,470.74,411.834444444444,58.9055555555556
"AHD7404","M",2021,"AVN","AVN",0,1,1,0,1,1,6,-999,-999,"O",0.75,0.845833333333333,-0.0958333333333333,3.75,5.065,-1.315,0.0875206611570248,-0.126122852970841,0.213643514127866,386.05,411.834444444444,-25.7844444444444
"AHD7404","M",2022,"AVN","AVN",0,0,1,0,1,2,6,-999,-999,"O",0.625,0.845833333333333,-0.220833333333333,4.5,5.065,-0.565,-0.527520661157025,-0.126122852970841,-0.401397808186184,329.89,411.834444444444,-81.9444444444445
"AHD7410","M",2018,"NEW","NEW",0,1,1,0,0,0,6,-999,-999,"O",0.375,0.553030303030303,-0.178030303030303,2.375,2.95833333333333,-0.583333333333333,0.142727272727273,-0.444887278146593,0.587614550873865,313.65,414.056,-100.406
"AHD7410","M",2019,"NEW","NEW",0,0,1,0,1,1,6,-999,-999,"O",0.625,0.553030303030303,0.071969696969697,3.875,2.95833333333333,0.916666666666667,0.239426229508197,-0.444887278146593,0.684313507654789,562.49,414.056,148.434
"AHD7422","F",2019,"KCZ","KCK/KCZ",0,0,1,0,0,0,5,1,1,"Y",0.75,0.545454545454545,0.204545454545455,5.6875,2.96969696969697,2.71780303030303,0.514590163934426,0.201431005283837,0.313159158650589,476.11,362.8245,113.2855
"AHD7439","M",2019,"PIT","PIT",0,1,1,0,0,0,5,1,1,"Y",0.875,0.890625,-0.015625,6.75,5.84375,0.90625,0.71827868852459,0.31285752995142,0.405421158573171,519.17,366.294285714286,152.875714285714
"AHD7439","M",2020,"PIT","PIT",0,1,1,0,1,1,6,2,2,"O",1,0.890625,0.109375,7.375,5.84375,1.53125,0.0855371900826446,0.31285752995142,-0.227320339868775,421.06,366.294285714286,54.7657142857143
"AHD7439","M",2021,"PIT","PIT",0,0,1,0,1,2,6,3,3,"O",0.75,0.890625,-0.140625,4.125,5.84375,-1.71875,0.822231404958678,0.31285752995142,0.509373875007258,307.13,366.294285714286,-59.1642857142857
"AHD7444","F",2018,"STY","STY",0,0,1,0,0,0,5,1,1,"Y",0.75,0.723484848484849,0.0265151515151515,6.5,4.66666666666667,1.83333333333333,0.971404958677686,0.835176737569435,0.136228221108251,207.46,331.33,-123.87
"AHD7445","M",2018,"STY","STY",0,0,1,0,0,0,5,1,1,"Y",0.75,0.723484848484849,0.0265151515151515,6.5,4.66666666666667,1.83333333333333,0.971404958677686,0.835176737569435,0.136228221108251,207.46,331.33,-123.87
"AHD7483","F",2018,"CRU","CRU",0,0,1,0,0,0,6,-999,-999,"O",0.375,0.287878787878788,0.0871212121212121,2,1.31439393939394,0.685606060606061,0.232396694214876,-0.432900826446281,0.665297520661157,305.64,403.55,-97.91
"AHD7522","M",2018,"RSY","RSY",0,0,1,0,0,0,6,-999,-999,"O",0.625,0.708333333333333,-0.0833333333333334,2.5,2.325,0.175,2.47429752066116,2.40427712294329,0.0700203977178639,159.09,283.688888888889,-124.598888888889
"AHD7523","M",2018,"FOF","FOF",0,0,1,0,0,0,5,1,1,"Y",0.75,0.909090909090909,-0.159090909090909,5.125,5.6969696969697,-0.571969696969697,2.28479338842975,2.08564970871156,0.199143679718195,182.31,318.008,-135.698
"AHD7524","F",2018,"FOF","FOF",0,0,1,0,0,0,5,1,1,"Y",0.75,0.909090909090909,-0.159090909090909,5.125,5.6969696969697,-0.571969696969697,2.28479338842975,2.08564970871156,0.199143679718195,182.31,318.008,-135.698
"AHD7525","F",2018,"FOF","FOF",0,0,1,0,0,0,5,1,1,"Y",0.75,0.909090909090909,-0.159090909090909,5.125,5.6969696969697,-0.571969696969697,2.28479338842975,2.08564970871156,0.199143679718195,182.31,318.008,-135.698
"AHD7526","M",2018,"FOF","FOF",0,0,1,0,0,0,6,-999,-999,"O",0.75,0.909090909090909,-0.159090909090909,5.125,5.6969696969697,-0.571969696969697,2.28479338842975,2.08564970871156,0.199143679718195,182.31,318.008,-135.698
