"ring","year","site","box","age","sex","wing","tarsus","mass","date","time","ringer","season","history","notes","catching","X"
"AHD7966",2018,"ALN",6,6,"M",66,NA,10.59,161,"17:35","KM","spring",0,NA,NA,NA
"AHD7678",2018,"ALN",8,5,"F",60,NA,9.84,153,"15:35","KM","spring",0,NA,NA,NA
"S228402",2018,"ALN",8,6,"M",65,NA,10.31,153,"15:35","KM","spring",1,"Still resurrected in ALN8",NA,NA
"S921329",2019,"ALN",2,6,"F",62,17.61,10.88,143,"17:50","KM","spring",1,NA,NA,NA
"S921653",2019,"ALN",2,6,"M",66,18.32,10.25,143,"17:20","KM","spring",1,NA,NA,NA
"S921574",2019,"ALN",3,6,"F",62,17.38,10.71,147,"16:30","KK","spring",1,NA,NA,NA
"ARD7235",2019,"ALN",3,6,"M",68,17.67,11.38,147,"16:30","KK","spring",0,NA,NA,NA
"ARD7731",2019,"ALN",4,5,"F",63,17.3,10.29,152,"09:35","KM","spring",0,NA,NA,NA
"ARD7732",2019,"ALN",4,5,"M",63,18.38,10.17,152,"09:35","KM","spring",0,NA,NA,NA
"AHD7791",2019,"ALN",6,5,"F",63,18,10.71,147,"16:31","JC","spring",1,NA,NA,NA
"S228402",2019,"ALN",6,6,"M",65,16.7,10,149,"14:30","JMS","spring",1,NA,NA,NA
"ARD7731",2020,"ALN",2,6,"F",63,NA,10.02,153,"12:53","ABP","spring",1,NA,"net",NA
"S921653",2020,"ALN",2,6,"M",65,NA,10.01,153,"12:53","ABP","spring",1,NA,"net",NA
"S921574",2020,"ALN",3,6,"F",62,NA,10.24,153,"13:16","ABP","spring",1,NA,"net",NA
"AXH8043",2020,"ALN",3,6,"M",67,NA,11.29,153,"13:16","ABP","spring",0,NA,"net",NA
"AXH7116",2020,"ALN",4,5,"F",63,NA,10.86,153,"12:08","KM","spring",1,NA,NA,NA
"ARD7732",2020,"ALN",4,6,"M",64,NA,10.35,153,"12:08","KM","spring",1,NA,NA,NA
"AXH9322",2020,"ALN",5,5,"F",63,NA,9.83,153,"12:31","KM","spring",0,NA,NA,NA
"AXH9331",2020,"ALN",6,6,"F",62,NA,10.05,153,"13:18","KM","spring",0,NA,NA,NA
"S228402",2020,"ALN",6,6,"M",65,NA,10.35,153,"13:18","KM","spring",1,NA,NA,NA
"AXH9330",2020,"ALN",8,6,"F",64,NA,11.26,153,"12:58","KM","spring",0,NA,NA,NA
"AXH7116",2021,"ALN",1,6,"F",64,NA,11,154,"14:27","ABP","spring",1,NA,NA,NA
"ARD7732",2021,"ALN",1,6,"M",65,NA,10.2,154,"14:27","ABP","spring",1,NA,NA,NA
"ARD7731",2021,"ALN",2,6,"F",63,NA,10.42,154,"14:15","ABP","spring",1,NA,"net",NA
"ARD7974",2021,"ALN",2,6,"M",65,NA,10.25,154,"14:15","ABP","spring",1,NA,"net",NA
"AXH8619",2021,"ALN",3,5,"F",64,NA,9.96,164,"10:13","EAM","spring",0,NA,NA,NA
"AXH8618",2021,"ALN",3,5,"M",66,NA,11.01,164,"10:13","EAM","spring",0,NA,NA,NA
"AXH9322",2021,"ALN",5,6,"F",64,NA,9.27,164,"11:10","EAM","spring",1,NA,NA,NA
"ARD7974",2021,"ALN",5,6,"M",66,NA,10.08,164,"11:10","KM","spring",1,NA,"net",NA
"AXH8569",2021,"ALN",7,6,"F",66,NA,9.74,164,"10:45","KM","spring",0,NA,NA,NA
"AXH8568",2021,"ALN",7,5,"M",63,NA,9.77,164,"10:45","KM","spring",0,NA,NA,NA
"AXH9331",2021,"ALN",8,6,"F",62,NA,9.69,154,"14:43","JMS","spring",1,NA,NA,NA
"Z632861",2016,"ART",1,5,"F",60,NA,10.87,157,"11:45","IBC","spring",0,NA,NA,NA
"Z632862",2016,"ART",1,6,"M",65,NA,10.74,157,"11:45","IBC","spring",0,NA,NA,NA
"Z632888",2016,"ART",2,6,"F",64,NA,10.42,160,"16:50","JDS","spring",0,NA,NA,NA
"Z632889",2016,"ART",2,6,"M",68,NA,10.85,160,"16:50","JDS","spring",0,NA,NA,NA
"Z632878",2016,"ART",3,5,"F",64,NA,10.79,154,"13:30","JDS","spring",0,NA,NA,NA
"Z632879",2016,"ART",3,6,"M",65,NA,9.88,154,"13:30","JDS","spring",0,NA,NA,NA
"Z632880",2016,"ART",6,6,"F",64,NA,10.42,154,"13:50","JDS","spring",0,NA,NA,NA
"Z632881",2016,"ART",6,6,"M",63,NA,10.12,154,"13:50","JDS","spring",0,NA,NA,NA
"Z632861",2017,"ART",1,6,"F",62,NA,11.05,153,"14:19","KM","spring",1,NA,NA,NA
"Z632862",2017,"ART",1,6,"M",66,NA,11.51,153,"14:19","KM","spring",1,NA,NA,NA
"S922566",2017,"ART",2,5,"F",61,NA,10.82,153,"14:37","KM","spring",0,NA,NA,NA
"S922565",2017,"ART",2,5,"M",65,NA,10.45,153,"14:37","KM","spring",0,NA,NA,NA
"S922127",2017,"ART",3,6,"M",67,NA,10.57,147,"14:00","JDS","spring",0,NA,NA,NA
"S922509",2017,"ART",4,6,"F",65,NA,11.75,149,"15:20","JDS","spring",0,NA,NA,NA
"S922508",2017,"ART",4,6,"M",66,NA,11.21,149,"15:20","JDS","spring",0,NA,NA,NA
"S922568",2017,"ART",5,5,"F",63,NA,11.17,153,"15:04","KM","spring",0,NA,NA,NA
"S922567",2017,"ART",5,5,"M",64,NA,10.39,153,"15:04","KM","spring",0,NA,NA,NA
"Z632880",2017,"ART",8,6,"F",64,NA,10.77,149,"16:17","KM","spring",1,NA,NA,NA
"Z632881",2017,"ART",8,6,"M",63,NA,10.62,149,"16:17","KM","spring",1,NA,NA,NA
"AHD7094",2018,"ART",1,6,"F",61,NA,10.15,155,"15:15","DAP","spring",0,NA,NA,NA
"Z632862",2018,"ART",1,6,"M",66,NA,11.41,155,"14:15","DAP","spring",1,NA,NA,NA
"AHD7121",2018,"ART",2,5,"F",60,NA,10.91,151,"14:50","JMS","spring",0,NA,NA,NA
"AHD7122",2018,"ART",2,6,"M",66,NA,11.18,151,"14:53","JMS","spring",0,NA,NA,NA
"S922509",2018,"ART",3,6,"F",65,NA,11.88,149,"13:00","DAP","spring",1,NA,NA,NA
"AHD7003",2018,"ART",3,6,"M",64,NA,10.18,149,"13:00","DAP","spring",0,NA,NA,NA
"AHD7001",2018,"ART",4,5,"F",61,NA,9.88,149,"13:00","DAP","spring",0,NA,NA,NA
"AHD7002",2018,"ART",4,5,"M",64,NA,11.71,149,"13:00","DAP","spring",0,NA,NA,NA
"S922568",2018,"ART",5,6,"F",62,NA,11.17,147,"13:30","DAP","spring",1,NA,NA,NA
"S922567",2018,"ART",5,6,"M",65,NA,10.36,147,"13:30","DAP","spring",1,NA,NA,NA
"AHD7131",2018,"ART",7,6,"F",59,NA,10.43,151,"15:11","JMS","spring",0,NA,NA,NA
"AHD7132",2018,"ART",7,6,"M",66,NA,10.26,151,"15:14","JMS","spring",0,NA,NA,NA
"ARD6316",2019,"ART",1,5,"M",66,19,10.77,139,"14:20","KK","spring",0,NA,NA,NA
"ARD6264",2019,"ART",2,5,"F",61,17,11.4,139,"14:40","KK","spring",0,NA,NA,NA
"S922127",2019,"ART",2,6,"M",64,17.9,10.53,139,"14:40","KK","spring",1,NA,NA,NA
"ARD6297",2019,"ART",3,5,"F",63,17.79,10.54,141,"16:30","KM","spring",0,NA,NA,NA
"ARD6296",2019,"ART",3,5,"M",65,16.22,9.65,141,"16:30","KM","spring",0,NA,NA,NA
"S922568",2019,"ART",4,6,"F",63,17.48,11.3,141,"16:10","KM","spring",1,NA,NA,NA
"ARD6295",2019,"ART",4,5,"M",66,18.3,10.43,141,"16:10","KM","spring",0,NA,NA,NA
"ARD6656",2019,"ART",5,6,"F",64,16.7,10.22,149,"12:16","JMS","spring",0,NA,NA,NA
"ARD6655",2019,"ART",5,5,"M",63,16.8,10.4,149,"12:13","JMS","spring",0,NA,NA,NA
"ARD6300",2019,"ART",6,5,"M",65,18.65,9.74,143,"12:30","KM","spring",0,NA,NA,NA
"ARD7957",2019,"ART",8,5,"F",64,17.57,10.55,143,"12:50","KM","spring",0,NA,NA,NA
"ARD7956",2019,"ART",8,6,"M",66,17,9.92,143,"12:50","KM","spring",0,NA,NA,NA
"ARD6297",2020,"ART",3,6,"F",65,NA,10.6,153,"14:42","ABP","spring",1,NA,"net",NA
"AXH8044",2020,"ART",4,5,"F",62,NA,10.52,153,"15:04","ABP","spring",0,NA,"net",NA
"ARD6300",2020,"ART",4,6,"M",65,NA,10.56,153,"15:04","ABP","spring",1,NA,"net",NA
"ARD7957",2020,"ART",7,6,"F",63,NA,11.27,153,"15:23","ABP","spring",1,"entered as ARD7597, but based on data entry must be ARD7957",NA,NA
"ARD7956",2020,"ART",7,6,"M",64,NA,10.8,153,"15:23","ABP","spring",1,"entered as ARD7596, but based on data entry must be ARD7956",NA,NA
"AXH7122",2020,"ART",8,5,"F",63,NA,10.95,153,"15:40","KM","spring",1,NA,NA,NA
"AXH9547",2021,"ART",1,5,"F",63,NA,11.15,149,"15:15","EAM","spring",0,NA,NA,NA
"AXH9548",2021,"ART",1,5,"M",65,NA,10.39,149,"15:15","EAM","spring",0,NA,NA,NA
"AXH9558",2021,"ART",2,6,"F",62,NA,10.56,151,"11:53","EAM","spring",0,NA,NA,NA
"AXH9557",2021,"ART",2,6,"M",67,NA,11.31,151,"11:53","EAM","spring",0,NA,NA,NA
"AXH9810",2021,"ART",4,5,"F",62,NA,10.66,155,"12:45","SEL","spring",0,NA,NA,NA
"AXH9809",2021,"ART",4,6,"M",65,NA,10.6,155,"12:40","SEL","spring",0,NA,NA,NA
"AXH8530",2021,"ART",5,5,"F",63,NA,10.05,159,"09:10","KM","spring",0,NA,NA,NA
"AXH7121",2021,"ART",6,6,"F",62,NA,11.52,157,"09:20","SEL","spring",1,NA,NA,NA
"AXH9827",2021,"ART",6,5,"M",64,NA,11.59,157,"09:20","SEL","spring",0,NA,NA,NA
"AXH7122",2021,"ART",8,6,"F",64,NA,11.06,153,"11:35","KM","spring",1,NA,NA,NA
"ARD7956",2021,"ART",8,6,"M",66,NA,10.46,153,"11:35","KM","spring",1,NA,NA,NA
"Z081164",2014,"AVI",1,6,"F",60,NA,10.9,149,NA,"ABP","spring",0,NA,NA,NA
"Z081165",2014,"AVI",1,6,"M",68,NA,11.7,149,NA,"ABP","spring",0,NA,NA,NA
"Z632115",2015,"AVI",2,5,"F",63,NA,10.53,151,NA,"JDS","spring",0,NA,NA,NA
"D408219",2015,"AVI",2,5,"M",67,NA,11.12,151,NA,"JDS","spring",1,NA,NA,NA
"Z081312",2015,"AVI",3,5,"F",60,NA,9.68,153,"09:55","IBC","spring",1,NA,NA,NA
"Z632747",2015,"AVI",5,5,"F",62,NA,11.19,157,"11:00","JDS","spring",0,NA,NA,NA
"Z632748",2015,"AVI",5,5,"M",65,NA,11.08,157,"11:00","JDS","spring",0,NA,NA,NA
"Z632324",2015,"AVI",6,5,"F",60,NA,9.95,159,"09:50","IBC","spring",0,NA,NA,NA
"Z081312",2016,"AVI",3,6,"F",61,NA,9.98,161,"19:20","ABP","spring",1,NA,NA,NA
"S228854",2016,"AVI",6,6,"F",64,NA,10.91,168,"12:20","JDS","spring",0,NA,NA,NA
"S228853",2016,"AVI",6,6,"M",69,NA,11.03,168,"12:20","JDS","spring",0,NA,NA,NA
"S921350",2017,"AVI",4,5,"F",62,NA,10.51,157,"09:10","TB","spring",0,"wings wet, hard to age",NA,NA
"S921351",2017,"AVI",4,5,"M",66,NA,10.57,157,"09:14","TB","spring",0,"wings wet, hard to age",NA,NA
"Z632747",2017,"AVI",6,6,"F",64,NA,11.45,163,"11:47","KM","spring",1,NA,NA,NA
"S228853",2017,"AVI",6,6,"M",67,NA,11.22,161,"10:50","KM","spring",1,NA,NA,NA
"S921316",2017,"AVI",7,5,"F",61,NA,10.58,155,"10:25","KK","spring",0,NA,NA,NA
"S921315",2017,"AVI",7,5,"M",61,NA,10.03,155,"10:25","KK","spring",0,NA,NA,NA
"AHD7085",2018,"AVI",2,6,"F",63,NA,10.5,155,"10:36","DAP","spring",0,NA,NA,NA
"AHD7086",2018,"AVI",2,6,"M",68,NA,10.85,155,"11:36","DAP","spring",0,NA,NA,NA
"S921731",2018,"AVI",3,5,"F",63,NA,11.15,148,"13:45","JB","spring",0,NA,NA,NA
"S921488",2018,"AVI",3,5,"M",63,NA,10.08,148,"13:50","JB","spring",0,NA,NA,NA
"S921350",2018,"AVI",5,6,"F",65,NA,10.17,155,"10:48","JB","spring",1,"AVI4 in 2017",NA,NA
"S921350",2018,"AVI",5,6,"F",62,NA,10.02,160,"10:36","JMS","spring",1,"was entered as SQ21350, but this isn't  BTO ringnumber whereas S921350 bred at AVI last year.",NA,NA
"AHD7320",2018,"AVI",6,5,"M",64,NA,11.07,157,"09:00","JB","spring",0,"First recorded as F by JB, JMS said M",NA,NA
"AHD7801",2018,"AVI",6,5,"F",60,NA,10.72,159,"09:51","JMS","spring",0,NA,NA,NA
"AHD7085",2019,"AVI",1,6,"F",63,17.98,10.21,155,"10:05","KM","spring",1,NA,NA,NA
"AHD7086",2019,"AVI",1,6,"M",68,18.69,10.59,155,"10:05","KM","spring",1,NA,NA,NA
"S921731",2019,"AVI",4,6,"F",64,17.22,10.75,151,"09:00","KM","spring",1,NA,NA,NA
"S921488",2019,"AVI",4,6,"M",65,17.13,10.04,151,"09:00","KM","spring",1,NA,NA,NA
"Z632324",2019,"AVI",5,6,"F",63,17.42,9.86,151,"09:05","KM","spring",1,NA,NA,NA
"ARD6689",2019,"AVI",5,5,"M",65,17.84,9.67,151,"09:05","KM","spring",0,"changed from history 1 to 0",NA,NA
"AHD7767",2019,"AVI",6,6,"F",61,16.7,10.09,159,"11:09","JMS","spring",1,NA,NA,NA
"ARD7391",2019,"AVI",6,5,"M",65,17.1,10.52,159,"11:06","JMS","spring",0,NA,NA,NA
"S921316",2019,"AVI",8,6,"F",61,16.45,10.63,159,"10:45","JMS","spring",1,NA,NA,NA
"AHD7764",2019,"AVI",8,5,"M",64,18.05,11.17,153,"11:30","KK","spring",1,NA,NA,NA
"AHD7085",2020,"AVI",2,6,"F",63,NA,10.33,159,"12:19","KM","spring",1,NA,NA,NA
"AXH9438",2020,"AVI",2,5,"M",64,NA,10.2,159,"12:19","KM","spring",0,NA,NA,NA
"S921350",2020,"AVI",4,6,"F",64,NA,10.38,164,"11:12","ABP","spring",1,NA,"net",NA
"AXH9434",2020,"AVI",6,5,"F",62,NA,10.29,159,"11:50","KM","spring",0,NA,NA,NA
"AXH9426",2020,"AVI",7,6,"F",63,NA,10.63,159,"11:05","KM","spring",0,NA,NA,NA
"AXH9427",2020,"AVI",7,6,"M",66,NA,11.28,159,"11:05","KM","spring",0,NA,NA,NA
"AXH9594",2021,"AVI",1,6,"F",63,NA,10.85,153,"17:22","EAM","spring",0,NA,NA,NA
"AXH9438",2021,"AVI",1,6,"M",66,NA,10.57,153,"17:22","EAM","spring",1,NA,NA,NA
"S921731",2021,"AVI",3,6,"F",64,NA,10.93,161,"09:38","EAM","spring",1,NA,NA,NA
"AXH8987",2021,"AVI",3,6,"M",67,NA,10.63,161,"09:38","EAM","spring",0,NA,NA,NA
"AXH9595",2021,"AVI",5,5,"F",62,NA,9.64,153,"18:02","EAM","spring",0,NA,NA,NA
"ARD6696",2021,"AVI",5,6,"M",66,NA,9.88,154,"11:05","KM","spring",1,NA,NA,NA
"AXH9434",2021,"AVI",6,6,"F",63,NA,10.98,147,"09:46","SEL","spring",1,NA,NA,NA
"ARD7391",2021,"AVI",6,6,"M",66,NA,10.6,147,"09:30","SEL","spring",1,NA,NA,NA
"Z632767",2015,"AVN",1,6,"F",61,NA,10.33,157,"13:30","JDS","spring",0,NA,NA,NA
"Z632713",2015,"AVN",2,6,"F",61,NA,11.34,155,NA,"JDS","spring",0,NA,NA,NA
"Z632714",2015,"AVN",2,5,"M",65,NA,11.28,155,NA,"JDS","spring",0,NA,NA,NA
"Z632326",2015,"AVN",3,6,"F",61,NA,10.98,159,"11:00","IBC","spring",0,NA,NA,NA
"Z632400",2015,"AVN",3,6,"M",63,NA,10.85,159,"11:00","IBC","spring",0,NA,NA,NA
"Z632903",2015,"AVN",4,5,"F",59,NA,10.37,161,"10:35","IBC","spring",0,NA,NA,NA
"Z632766",2015,"AVN",4,5,"M",64,NA,10.44,157,"13:00","JDS","spring",0,NA,NA,NA
"Z632902",2015,"AVN",5,5,"F",62,NA,11.1,161,"10:00","IBC","spring",0,NA,NA,NA
"Z632901",2015,"AVN",5,5,"M",62,NA,11.29,161,"10:00","IBC","spring",0,NA,NA,NA
"Z632981",2016,"AVN",1,6,"F",61,NA,11.36,161,"20:00","ABP","spring",0,NA,NA,NA
"Z632896",2016,"AVN",1,6,"M",66,NA,10.58,162,"11:10","JDS","spring",0,NA,NA,NA
"Z632898",2016,"AVN",3,5,"M",66,NA,10.61,163,"14:00","JDS","spring",0,NA,NA,NA
"Z632903",2016,"AVN",4,6,"F",61,NA,9.94,162,"11:00","JDS","spring",1,NA,NA,NA
"Z632895",2016,"AVN",4,5,"M",64,NA,10.66,162,"11:00","JDS","spring",0,NA,NA,NA
"Z632902",2016,"AVN",5,6,"F",66,NA,11.57,161,"16:20","JDS","spring",1,NA,NA,NA
"Z632892",2016,"AVN",5,5,"M",65,NA,10.88,161,"16:20","JDS","spring",0,NA,NA,NA
"Z632893",2016,"AVN",6,6,"F",62,NA,10.13,162,"10:30","JDS","spring",0,NA,NA,NA
"Z632894",2016,"AVN",6,5,"M",65,NA,10.47,162,"10:30","JDS","spring",0,NA,NA,NA
"S922687",2017,"AVN",2,6,"F",63,NA,9.84,152,"15:40","KM","spring",0,NA,NA,NA
"S921352",2017,"AVN",2,5,"M",65,NA,10.46,157,"10:25","TB","spring",0,NA,NA,NA
"S922775",2017,"AVN",3,6,"F",65,NA,11.24,152,"19:45","ABP","spring",0,NA,NA,NA
"Z632898",2017,"AVN",3,6,"M",66,NA,11.37,152,"19:45","ABP","spring",1,"ringed at same in 2016",NA,NA
"S922099",2017,"AVN",4,5,"F",61,NA,9.89,148,"15:00","KK","spring",0,NA,NA,NA
"Z632895",2017,"AVN",4,6,"M",64,NA,11.14,152,"20:15","ABP","spring",1,"ringed at same in 2016",NA,NA
"Z632902",2017,"AVN",5,6,"F",66,NA,11.28,152,"20:30","ABP","spring",1,NA,NA,NA
"S921537",2017,"AVN",5,5,"M",66,NA,10.84,157,"10:20","KK","spring",0,NA,NA,NA
"S922633",2017,"AVN",6,6,"F",62,NA,10.18,151,"10:03","KM","spring",0,NA,NA,NA
"Z632894",2017,"AVN",6,6,"M",65,NA,9.99,151,"10:03","KM","spring",1,NA,NA,NA
"S921531",2017,"AVN",7,5,"F",62,NA,10.83,156,"13:00","KK","spring",0,NA,NA,NA
"S921530",2017,"AVN",7,5,"M",66,NA,10.48,156,"13:00","KK","spring",0,NA,NA,NA
"AHD7972",2018,"AVN",1,5,"F",61,NA,11.11,162,"14:15","KM","spring",0,NA,NA,NA
"S921352",2018,"AVN",1,6,"M",66,NA,10.76,162,"14:15","KM","spring",1,"AVN2 in 2017",NA,NA
"AHD7974",2018,"AVN",2,5,"F",64,NA,11.62,162,"14:25","KM","spring",0,NA,NA,NA
"AHD7973",2018,"AVN",2,5,"M",65,NA,11.27,162,"14:25","KM","spring",0,NA,NA,NA
"AHD7120",2018,"AVN",4,5,"F",61,NA,9.87,151,"12:15","JMS","spring",0,NA,NA,NA
"Z632895",2018,"AVN",4,6,"M",65,NA,10.86,151,"12:10","JMS","spring",1,NA,NA,NA
"Z632902",2018,"AVN",5,6,"F",67,NA,11.36,156,"15:00","JB","spring",1,NA,NA,NA
"S921537",2018,"AVN",5,6,"M",66,NA,10.47,150,"14:39","DAP","spring",1,"AVN5 in 2017",NA,NA
"AHD7364",2018,"AVN",6,5,"F",64,NA,10.77,158,"14:00","JB","spring",0,NA,NA,NA
"Z632892",2018,"AVN",6,6,"M",65,NA,11.01,158,"14:00","JB","spring",1,NA,NA,NA
"AHD7351",2018,"AVN",7,5,"F",62,NA,10.28,158,"13:40","JB","spring",0,NA,NA,NA
"AHD7350",2018,"AVN",7,5,"M",65,NA,10.31,158,"13:40","JB","spring",0,NA,NA,NA
"ARD7736",2019,"AVN",1,5,"F",61,16.63,9.82,152,"13:50","KM","spring",0,NA,NA,NA
"S921352",2019,"AVN",1,6,"M",66,18.44,11.32,152,"13:50","KM","spring",1,NA,NA,NA
"AHD7974",2019,"AVN",2,6,"F",65,17.85,11.74,166,"14:10","KM","spring",1,NA,NA,NA
"S922956",2019,"AVN",2,5,"M",64,18.41,11.62,166,"14:10","KM","spring",1,NA,NA,NA
"ARD7784",2019,"AVN",3,4,"F",62,17.06,11.63,154,"14:10","KK","spring",0,NA,NA,NA
"ARD7783",2019,"AVN",3,5,"M",64,17.23,10.56,154,"14:10","KK","spring",0,NA,NA,NA
"ARD7392",2019,"AVN",4,5,"F",62,16.6,11.05,161,"10:53","JMS","spring",0,NA,NA,NA
"Z632902",2019,"AVN",5,6,"F",66,15.71,11.12,147,"09:33","JC","spring",1,NA,NA,NA
"ARD7310",2019,"AVN",5,6,"M",66,16.78,10.8,147,"09:33","JC","spring",0,NA,NA,NA
"ARD7737",2019,"AVN",6,5,"F",62,16.22,9.81,152,"14:25","KM","spring",0,NA,NA,NA
"Z632894",2019,"AVN",6,6,"M",67,17.93,10.48,152,"14:25","KM","spring",1,NA,NA,NA
"ARD7087",2020,"AVN",3,5,"F",62,NA,11.1,159,"12:21","ABP","spring",1,NA,"net",NA
"S921530",2020,"AVN",3,6,"M",65,NA,10.78,159,"12:21","ABP","spring",1,NA,"net",NA
"AXH8165",2020,"AVN",4,5,"F",62,NA,10.56,159,"12:44","ABP","spring",0,NA,"net",NA
"AHD7350",2020,"AVN",4,6,"M",68,NA,10.27,159,"12:44","ABP","spring",1,NA,"net",NA
"AXH9419",2020,"AVN",5,5,"F",62,NA,10.08,159,"10:38","KM","spring",0,NA,NA,NA
"ARD7310",2020,"AVN",5,6,"M",66,NA,10.78,159,"10:38","KM","spring",1,NA,NA,NA
"AXH8166",2020,"AVN",6,6,"F",64,NA,10.72,159,"13:02","ABP","spring",0,NA,"net",NA
"Z632894",2020,"AVN",6,6,"M",66,NA,10.72,159,"13:02","ABP","spring",1,NA,"net",NA
"AHD7974",2020,"AVN",7,6,"F",64,NA,12.11,159,"09:23","KM","spring",1,NA,NA,NA
"AXH9396",2020,"AVN",7,5,"M",65,NA,10.43,159,"09:23","KM","spring",0,NA,NA,NA
"AXH9405",2020,"AVN",8,6,"F",64,NA,10.53,159,"09:54","KM","spring",0,NA,NA,NA
"AHD7404",2020,"AVN",8,6,"M",64,NA,10.72,159,"09:54","KM","spring",1,NA,NA,NA
"AXH9807",2021,"AVN",2,5,"F",62,NA,10.7,155,"09:25","SEL","spring",0,NA,NA,NA
"AXH9806",2021,"AVN",2,6,"M",66,NA,10.19,155,"09:18","SEL","spring",0,NA,NA,NA
"ARD7087",2021,"AVN",3,6,"F",64,NA,11.05,155,"09:25","KM","spring",1,NA,NA,NA
"AXH9692",2021,"AVN",3,6,"M",66,NA,10.23,155,"09:25","KM","spring",0,NA,NA,NA
"AXH8535",2021,"AVN",4,6,"F",63,NA,11.43,159,"16:15","KM","spring",0,NA,NA,NA
"AXH8536",2021,"AVN",4,6,"M",66,NA,11.09,159,"16:15","KM","spring",0,NA,NA,NA
"AXH9829",2021,"AVN",6,5,"F",64,NA,10.71,157,"15:30","SEL","spring",0,NA,NA,NA
"AXH8673",2021,"AVN",8,6,"F",65,NA,10.72,171,"16:01","EAM","spring",0,NA,NA,NA
"AHD7404",2021,"AVN",8,6,"M",65,NA,11.35,171,"16:01","EAM","spring",1,NA,NA,NA
"Z081143",2014,"BAD",1,5,"M",66,NA,10.9,146,NA,"ABP","spring",0,NA,NA,NA
"Z081146",2014,"BAD",3,6,"F",62,NA,NA,148,NA,"ABP","spring",0,NA,NA,NA
"Z081147",2014,"BAD",3,5,"M",63,NA,10.8,148,NA,"ABP","spring",0,NA,NA,NA
"Z081069",2014,"BAD",5,5,"F",NA,NA,NA,142,NA,"ABP","spring",0,NA,NA,NA
"Z081068",2014,"BAD",5,6,"M",NA,NA,NA,142,NA,"ABP","spring",0,NA,NA,NA
"Z632546",2015,"BAD",1,6,"F",62,NA,11.49,154,NA,"ABP","spring",0,NA,NA,NA
"Z081002",2015,"BAD",1,5,"M",65,NA,10.44,154,NA,"ABP","spring",1,NA,NA,NA
"Z632558",2015,"BAD",2,5,"F",62,NA,10.35,156,NA,"ABP","spring",0,NA,NA,NA
"Z632559",2015,"BAD",2,5,"M",65,NA,11.19,156,NA,"ABP","spring",0,NA,NA,NA
"Z632638",2015,"BAD",3,5,"F",63,NA,11.05,158,"09:30","ABP","spring",0,NA,NA,NA
"Z632637",2015,"BAD",3,5,"M",65,NA,10.16,158,"09:30","ABP","spring",0,NA,NA,NA
"Z632550",2015,"BAD",4,5,"F",62,NA,11.38,156,NA,"ABP","spring",0,NA,NA,NA
"Z081147",2015,"BAD",4,6,"M",64,NA,10.94,156,NA,"ABP","spring",1,NA,NA,NA
